frame_id,asset_id,source_name,frame_path,timestamp_s,frame_index,width,height,zone_l1,confuser_tags,use_purpose,split,quality_flag,reviewer_notes,sha256
SHIP_DVIDS_001_17d6d050cf4ad4a2,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000055.jpg,55,55,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,5d6967a56519c6fcb5c86d121f84a519af4e823eae64eb55581b076c49a0b358
SHIP_DVIDS_001_3f07ea49f8af825f,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000056.jpg,56,56,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,7c65ac218c83758df50a200d0cf3a19e12aa0d6bf09e2f465be5238a515bcfb9
SHIP_DVIDS_001_4d0893a7765fc410,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000057.jpg,57,57,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,f69d5b6780bac987f0a0967b61e5db9d83aeebd265fd6159b315d2bf11f7adca
SHIP_DVIDS_001_ff39dd163722fc08,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000058.jpg,58,58,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,2e955173052f34538db069e313a808522c6b2036ce6525a1695b3cd11240f3dd
SHIP_DVIDS_001_0fa5a79db91db653,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000059.jpg,59,59,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,915ed3b129a57308c6335fe751b441e7008a9f69c45a273bcc5fa193334b7d5f
SHIP_DVIDS_001_cf9a728bb4c6ba3c,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000060.jpg,60,60,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,5babb2cf2b03f1c28ceed6011a364cfb78bff0b26371eb95e860373c2171346c
SHIP_DVIDS_001_3ecb335ebe874b93,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000061.jpg,61,61,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,1ef565290a8f59fe40c5ed24e72fe89e3a044f82cdc7cacba4b53e8e8398eacc
SHIP_DVIDS_001_d62bb7145c0fe9d3,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000062.jpg,62,62,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,a4ddf8677a1f4a78930d7b60665239bc3c88552e387a9a554dd814ec30028fcd
SHIP_DVIDS_001_4dd4a4a25b60d53c,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000063.jpg,63,63,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,789185e1b85c6fe3b0beceada9b340f5ef4c85b08bbc65178c6f552d53406100
SHIP_DVIDS_001_2a257c43b379e860,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000064.jpg,64,64,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,86f0b4edf331a5e50449c961dad715c730adc3bad1a45e144b89e5f869c52898
SHIP_DVIDS_001_c45159a8dda1a774,SHIP_DVIDS_001,DVIDS,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000065.jpg,65,65,854,480,engine_room,none,synth_background,train,good,auto_mapped_quality_normal_to_good,199cb1b4a538973f6472d7c255e63291ab2c3336e429e75f9fe7f14eafbeafdb
